source,target,weight
te_ipukarea_society,si,0.2
te_ipukarea_society,ec,0.9
tetiaroa_society,mr,0
tetiaroa_society,si,0.3
tetiaroa_society,ec,0.95
the_ocean_and_us,mr,0.05
the_ocean_and_us,si,0.45
the_ocean_and_us,ec,0.98
tonga,mr,0.63
tonga,si,0.494444444
tonga,ec,0.586
trinidad_and_tobago,mr,0.71
trinidad_and_tobago,si,0.31
trinidad_and_tobago,ec,0.465714286
tuvalu,mr,0.2
tuvalu,si,0.45
tuvalu,ec,0.933333333
uganda,mr,0.603333333
uganda,si,0.375
uganda,ec,0.28
uk,mr,0.81
uk,si,0.311111111
uk,ec,0.547142857
usa,mr,0.9
usa,si,0.45
usa,ec,0.1
viet_nam,mr,0.815
viet_nam,si,0.485
viet_nam,ec,0.65
wwf,mr,0.05
wwf,si,0.5125
wwf,ec,0.955
zambia,mr,0.358333333
zambia,si,0.425
zambia,ec,0.71
zimbabwe,mr,0.67
zimbabwe,si,0.5225
zimbabwe,ec,0.474444444
